Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
187,2017,4,Haryana,Sonepat,60831.0,79.71,400.2,205.51,13539.0,17.74,89.07,45.74,0.0,2.55,12.82,6.58,76319.0,502.1,257.83
188,2016,4,Haryana,Faridabad,5040.0,74.59,157.5,85.42,1666.0,24.66,52.06,28.24,0.0,0.75,1.59,0.86,6757.0,211.16,114.53
188,2017,4,Haryana,Faridabad,6509.0,76.59,203.41,106.7,1865.0,21.95,58.28,30.57,0.0,1.46,3.88,2.03,8498.0,265.56,139.31
189,2016,12,Uttar Pradesh,Saharanpur,51990.0,67.71,193.52,118.59,20556.0,26.77,76.52,46.89,0.0,5.52,15.78,9.67,76785.0,285.81,175.14
189,2017,12,Uttar Pradesh,Saharanpur,46829.0,72.82,174.29,145.4,14957.0,23.26,55.67,46.44,0.0,3.92,9.38,7.83,64307.0,239.33,199.67
190,2016,12,Uttar Pradesh,Muzaffarnagar,53466.0,67.59,247.98,165.92,21314.0,26.94,98.86,66.14,0.0,5.47,20.05,13.42,79103.0,366.89,245.48
190,2017,12,Uttar Pradesh,Muzaffarnagar,36721.0,67.28,170.3,121.06,14711.0,26.95,68.23,48.5,0.0,5.76,14.59,10.37,54577.0,253.12,179.92
191,2016,12,Uttar Pradesh,Meerut,40910.0,67.64,208.28,135.32,16254.0,26.87,82.75,53.77,0.0,5.49,16.9,10.98,60483.0,307.93,200.07
191,2017,12,Uttar Pradesh,Meerut,47269.0,69.49,240.65,88.01,17502.0,25.73,89.1,32.59,0.0,4.77,16.53,6.05,68018.0,346.29,126.64
192,2016,12,Uttar Pradesh,Buland Shahar,51481.0,67.77,172.07,96.28,20270.0,26.68,67.75,37.91,0.0,5.55,14.08,7.88,75965.0,253.91,142.07
192,2017,12,Uttar Pradesh,Buland Shahar,61358.0,66.87,205.14,809.47,25045.0,27.29,83.73,330.41,0.0,5.84,17.92,70.71,91763.0,306.79,1210.59
193,2016,12,Uttar Pradesh,Ghaziabad,10325.0,67.44,201.45,132.55,4157.0,27.15,81.11,53.36,0.0,5.4,16.14,10.62,15309.0,298.69,196.53
193,2017,12,Uttar Pradesh,Ghaziabad,15847.0,73.66,310.99,209.08,4966.0,23.08,97.46,65.52,0.0,3.26,13.78,9.26,21515.0,422.23,283.86
194,2016,12,Uttar Pradesh,Aligarh,59337.0,68.0,194.15,104.89,22987.0,26.34,75.21,40.64,0.0,5.66,16.16,8.73,87264.0,285.53,154.26
194,2017,12,Uttar Pradesh,Aligarh,97090.0,71.26,318.14,238.81,31744.0,23.3,104.02,78.08,0.0,5.45,24.32,18.26,136256.0,446.47,335.14
195,2016,12,Uttar Pradesh,Mathura,44937.0,67.63,168.12,110.62,17862.0,26.88,66.83,43.97,0.0,5.48,13.63,8.97,66443.0,248.58,163.56
195,2017,12,Uttar Pradesh,Mathura,79175.0,71.11,296.94,185.21,27861.0,25.02,104.49,65.17,0.0,3.87,16.15,10.08,111343.0,417.58,260.46
196,2016,12,Uttar Pradesh,Agra,46580.0,67.74,179.62,107.17,18375.0,26.72,70.86,42.28,0.0,5.54,14.68,8.76,68761.0,265.16,158.2
196,2017,12,Uttar Pradesh,Agra,115265.0,64.61,444.53,351.69,41853.0,23.46,161.41,127.7,0.0,11.93,82.06,64.92,178395.0,688.0,544.3
197,2016,12,Uttar Pradesh,Mainpuri,34651.0,67.79,175.62,105.81,13627.0,26.66,69.06,41.61,0.0,5.56,14.39,8.67,51118.0,259.08,156.1
197,2017,12,Uttar Pradesh,Mainpuri,43545.0,69.71,219.71,131.22,16560.0,26.51,83.56,49.9,0.0,3.78,11.9,7.11,62463.0,315.17,188.23
198,2016,12,Uttar Pradesh,Etah,33682.0,67.86,170.01,101.29,13181.0,26.55,66.53,39.64,0.0,5.59,14.0,8.34,49637.0,250.54,149.27
198,2017,12,Uttar Pradesh,Etah,49396.0,67.58,249.64,91.45,19376.0,26.51,97.92,35.87,0.0,5.91,21.84,8.0,73093.0,369.4,135.31
199,2016,12,Uttar Pradesh,Bareilly,62859.0,67.83,192.51,116.5,24640.0,26.59,75.46,45.67,0.0,5.58,15.83,9.58,92668.0,283.8,171.74
199,2017,12,Uttar Pradesh,Bareilly,61247.0,73.54,187.57,113.38,18465.0,22.17,56.55,34.18,0.0,4.29,10.95,6.62,83287.0,255.07,154.19
200,2016,12,Uttar Pradesh,Budaun,68801.0,67.87,198.21,108.94,26903.0,26.54,77.51,42.6,0.0,5.59,16.33,8.98,101374.0,292.05,160.51
200,2017,12,Uttar Pradesh,Budaun,59246.0,71.97,170.68,92.21,19150.0,23.26,55.17,29.8,0.0,4.77,11.3,6.11,82320.0,237.16,128.12
201,2016,12,Uttar Pradesh,Moradabad,36476.0,67.8,210.73,117.03,14326.0,26.63,82.76,45.96,0.0,5.57,17.3,9.61,53796.0,310.79,172.6
201,2017,12,Uttar Pradesh,Moradabad,27580.0,77.84,159.22,88.11,6071.0,17.14,35.05,19.39,0.0,5.02,10.27,5.68,35430.0,204.54,113.19
202,2016,12,Uttar Pradesh,Shahjahanpur,70121.0,67.87,192.32,115.54,27408.0,26.53,75.17,45.16,0.0,5.6,15.86,9.53,103310.0,283.34,170.22
202,2017,12,Uttar Pradesh,Shahjahanpur,109135.0,72.17,299.32,179.79,34321.0,22.7,94.13,56.54,0.0,5.13,21.27,12.78,151213.0,414.72,249.11
203,2016,12,Uttar Pradesh,Pilibhit,47488.0,67.87,203.63,115.4,18568.0,26.54,79.62,45.12,0.0,5.59,16.78,9.51,69970.0,300.03,170.03
203,2017,12,Uttar Pradesh,Pilibhit,43952.0,72.53,191.99,109.11,12733.0,21.01,55.62,31.61,0.0,6.46,17.11,9.72,60602.0,264.72,150.44
204,2016,12,Uttar Pradesh,Rampur,39900.0,67.81,212.9,112.63,15661.0,26.62,83.56,44.21,0.0,5.57,17.49,9.25,58838.0,313.94,166.08
204,2017,12,Uttar Pradesh,Rampur,26893.0,80.78,143.44,75.58,5349.0,16.07,28.53,15.03,0.0,3.16,5.61,2.95,33293.0,177.57,93.56
205,2016,12,Uttar Pradesh,Bijnor,66128.0,67.75,198.03,158.32,26070.0,26.71,78.07,62.42,0.0,5.54,16.19,12.95,97605.0,292.29,233.68
205,2017,12,Uttar Pradesh,Bijnor,42397.0,70.42,126.89,101.77,14380.0,23.89,43.04,34.52,0.0,5.69,10.26,8.23,60204.0,180.19,144.51
206,2016,12,Uttar Pradesh,Farrukhabad,22091.0,67.62,127.33,96.62,8789.0,26.9,50.66,38.44,0.0,5.48,10.32,7.83,32670.0,188.3,142.89
206,2017,12,Uttar Pradesh,Farrukhabad,52000.0,71.53,299.76,227.72,14330.0,19.71,82.61,62.75,0.0,8.76,36.7,27.88,72696.0,419.07,318.35
207,2016,12,Uttar Pradesh,Etawah,23388.0,67.79,157.43,79.11,9193.0,26.65,61.88,31.1,0.0,5.56,12.91,6.49,34499.0,232.22,116.69
207,2017,12,Uttar Pradesh,Etawah,35734.0,66.9,240.67,139.33,15983.0,29.92,107.65,62.32,0.0,3.18,11.44,6.62,53416.0,359.76,208.28
209,2016,12,Uttar Pradesh,Fatehpur,47952.0,67.85,166.22,112.11,18773.0,26.56,65.08,43.89,0.0,5.58,13.68,9.23,70672.0,244.98,165.23
209,2017,12,Uttar Pradesh,Fatehpur,49651.0,67.85,172.34,116.21,20660.0,28.23,71.71,48.36,0.0,3.91,9.94,6.7,73174.0,253.98,171.27
210,2016,12,Uttar Pradesh,Allahabad,48201.0,67.81,136.87,84.21,18926.0,26.62,53.74,33.06,0.0,5.57,11.24,6.91,71084.0,201.85,124.19
210,2017,12,Uttar Pradesh,Allahabad,83677.0,66.23,237.25,145.91,31596.0,25.01,89.59,55.09,0.0,8.76,31.38,19.3,126340.0,358.22,220.3
211,2016,12,Uttar Pradesh,Jhansi,54597.0,67.61,175.07,111.98,21727.0,26.91,69.67,44.56,0.0,5.48,14.18,9.07,80747.0,258.93,165.61
211,2017,12,Uttar Pradesh,Jhansi,37538.0,61.34,120.38,76.98,22332.0,36.49,71.62,45.79,0.0,2.16,4.24,2.71,61192.0,196.23,125.48
212,2016,12,Uttar Pradesh,Lalitpur,52874.0,67.79,178.98,106.8,20795.0,26.66,70.39,42.0,0.0,5.55,14.67,8.75,78002.0,264.03,157.56
212,2017,12,Uttar Pradesh,Lalitpur,29445.0,51.91,99.32,58.7,26066.0,45.95,87.92,51.96,0.0,2.14,4.09,2.42,56723.0,191.32,113.08
213,2016,12,Uttar Pradesh,Jalaun,40719.0,66.99,118.24,83.49,16916.0,27.83,49.12,34.69,0.0,5.19,9.16,6.47,60788.0,176.52,124.64
213,2017,12,Uttar Pradesh,Jalaun,34090.0,64.09,98.92,70.94,17988.0,33.82,52.2,37.43,0.0,2.09,3.22,2.31,53188.0,154.34,110.68
214,2016,12,Uttar Pradesh,Hamirpur,38860.0,67.48,134.35,101.76,15610.0,27.11,53.97,40.88,0.0,5.41,10.78,8.17,57588.0,199.09,150.81
214,2017,12,Uttar Pradesh,Hamirpur,24938.0,62.1,86.75,63.75,14324.0,35.67,49.83,36.62,0.0,2.23,3.11,2.29,40156.0,139.69,102.65
215,2016,12,Uttar Pradesh,Banda,44371.0,67.44,128.43,92.99,17870.0,27.16,51.73,37.45,0.0,5.4,10.28,7.44,65792.0,190.44,137.89
215,2017,12,Uttar Pradesh,Banda,20558.0,59.34,59.65,43.3,12481.0,36.03,36.21,26.29,0.0,4.63,4.65,3.38,34643.0,100.51,72.97
216,2016,12,Uttar Pradesh,Varanasi,17622.0,68.03,174.64,107.02,6816.0,26.31,67.55,41.4,0.0,5.66,14.54,8.91,25905.0,256.72,157.33
216,2017,12,Uttar Pradesh,Varanasi,53940.0,71.58,534.86,327.94,17874.0,23.72,177.24,108.67,0.0,4.7,35.15,21.55,75359.0,747.25,458.17
217,2016,12,Uttar Pradesh,Mirzpur,27092.0,67.97,129.71,80.96,10522.0,26.4,50.38,31.44,0.0,5.64,10.76,6.71,39861.0,190.84,119.11
217,2017,12,Uttar Pradesh,Mirzpur,44613.0,72.69,211.59,134.69,15684.0,25.55,74.38,47.35,0.0,1.76,5.13,3.26,61378.0,291.1,185.3
218,2016,12,Uttar Pradesh,Jaunpur,50201.0,68.01,181.74,100.51,19434.0,26.33,70.36,38.91,0.0,5.66,15.13,8.36,73813.0,267.22,147.78
218,2017,12,Uttar Pradesh,Jaunpur,48177.0,70.56,174.41,96.45,17780.0,26.04,64.37,35.6,0.0,3.4,8.41,4.65,68280.0,247.19,136.7
219,2016,12,Uttar Pradesh,Ghazipur,41496.0,67.86,160.29,93.82,16229.0,26.54,62.69,36.69,0.0,5.59,13.21,7.73,61145.0,236.19,138.25
219,2017,12,Uttar Pradesh,Ghazipur,47591.0,69.72,183.83,106.84,18206.0,26.67,70.33,40.87,0.0,3.61,9.52,5.53,68261.0,263.68,153.24
220,2016,12,Uttar Pradesh,Ballia,35849.0,67.85,165.31,101.1,14039.0,26.57,64.74,39.59,0.0,5.58,13.6,8.32,52838.0,243.65,149.01
220,2017,12,Uttar Pradesh,Ballia,35301.0,66.56,162.79,99.76,15283.0,28.81,70.48,43.19,0.0,4.63,11.32,6.94,53039.0,244.6,149.89
221,2016,12,Uttar Pradesh,Gorakhpur,38236.0,67.83,160.63,95.09,14996.0,26.6,63.0,37.3,0.0,5.57,13.2,7.81,56374.0,236.83,140.2
221,2017,12,Uttar Pradesh,Gorakhpur,44390.0,72.26,186.49,114.18,12716.0,20.7,53.42,32.71,0.0,7.04,18.18,11.13,61434.0,258.1,158.02
222,2016,12,Uttar Pradesh,Deoria,33128.0,67.96,168.57,100.61,12872.0,26.41,65.5,39.09,0.0,5.64,13.98,8.34,48747.0,248.04,148.05
222,2017,12,Uttar Pradesh,Deoria,29877.0,67.87,152.03,90.74,11523.0,26.18,58.63,35.0,0.0,5.95,13.34,7.96,44021.0,224.0,133.69
223,2016,12,Uttar Pradesh,Basti,35989.0,67.81,181.26,106.08,14129.0,26.62,71.16,41.65,0.0,5.57,14.88,8.71,53073.0,267.3,156.44
223,2017,12,Uttar Pradesh,Basti,36860.0,72.12,185.68,108.63,12193.0,23.86,61.42,35.93,0.0,4.03,10.37,6.07,51111.0,257.47,150.63
224,2016,12,Uttar Pradesh,Azamgarh,54286.0,67.92,189.63,107.27,21152.0,26.46,73.89,41.8,0.0,5.62,15.68,8.87,79928.0,279.2,157.95
224,2017,12,Uttar Pradesh,Azamgarh,41741.0,70.64,145.96,82.49,15524.0,26.27,54.28,30.68,0.0,3.09,6.38,3.61,59090.0,206.63,116.78
225,2016,12,Uttar Pradesh,Lucknow,17784.0,67.66,132.38,86.55,7056.0,26.84,52.52,34.34,0.0,5.5,10.76,7.03,26285.0,195.66,127.92
225,2017,12,Uttar Pradesh,Lucknow,21074.0,67.09,157.41,105.91,9715.0,30.93,72.57,48.83,0.0,1.98,4.64,3.12,31410.0,234.62,157.86
226,2016,12,Uttar Pradesh,Unnao,49332.0,67.79,156.69,98.03,19402.0,26.66,61.63,38.55,0.0,5.56,12.84,8.03,72777.0,231.16,144.61
226,2017,12,Uttar Pradesh,Unnao,41140.0,69.72,130.67,81.05,16272.0,27.58,51.68,32.06,0.0,2.7,5.06,3.14,59006.0,187.42,116.24
227,2016,12,Uttar Pradesh,Rae - Bareily,29613.0,67.83,131.97,80.18,11607.0,26.59,51.72,31.43,0.0,5.58,10.85,6.59,43655.0,194.54,118.19
227,2017,12,Uttar Pradesh,Rae - Bareily,63597.0,69.98,283.69,171.2,24372.0,26.82,108.72,65.61,0.0,3.2,12.96,7.82,90875.0,405.38,244.63
228,2016,12,Uttar Pradesh,Sitapur,80453.0,67.87,182.62,119.91,31463.0,26.54,71.42,46.89,0.0,5.59,15.05,9.88,118546.0,269.09,176.69
228,2017,12,Uttar Pradesh,Sitapur,88206.0,68.94,200.15,131.22,32282.0,25.23,73.25,48.03,0.0,5.83,16.92,11.09,127943.0,290.32,190.34
229,2016,12,Uttar Pradesh,Hardoi,75678.0,67.83,179.34,111.9,29668.0,26.59,70.31,43.87,0.0,5.58,14.74,9.2,111567.0,264.39,164.96
229,2017,12,Uttar Pradesh,Hardoi,94913.0,71.49,225.08,140.43,35036.0,26.39,83.08,51.84,0.0,2.11,6.65,4.15,132755.0,314.81,196.42
230,2016,12,Uttar Pradesh,Kheri,97943.0,67.92,201.7,138.13,38157.0,26.46,78.58,53.81,0.0,5.62,16.68,11.43,144201.0,296.97,203.37
230,2017,12,Uttar Pradesh,Kheri,45798.0,69.86,95.79,64.73,15564.0,23.74,32.55,22.0,0.0,6.39,8.77,5.92,65554.0,137.1,92.65
231,2016,12,Uttar Pradesh,Faizabad,33342.0,67.82,185.52,114.52,13082.0,26.61,72.79,44.93,0.0,5.57,15.25,9.41,49164.0,273.55,168.86
231,2017,12,Uttar Pradesh,Faizabad,31697.0,67.74,176.36,108.8,12523.0,26.76,69.68,42.99,0.0,5.49,14.29,8.82,46789.0,260.34,160.61
232,2016,12,Uttar Pradesh,Gonda,53456.0,67.97,189.89,120.76,20755.0,26.39,73.73,46.89,0.0,5.64,15.76,10.02,78647.0,279.38,177.66
232,2017,12,Uttar Pradesh,Gonda,42824.0,68.37,152.13,96.74,15864.0,25.33,56.36,35.84,0.0,6.31,14.04,8.93,62639.0,222.52,141.51
233,2016,12,Uttar Pradesh,Bahraich,56046.0,67.99,168.54,100.14,21730.0,26.36,65.35,38.83,0.0,5.65,14.0,8.32,82433.0,247.89,147.28
233,2017,12,Uttar Pradesh,Bahraich,66961.0,65.04,200.85,119.32,24433.0,23.73,73.29,43.54,0.0,11.23,34.69,20.61,102961.0,308.83,183.47
234,2016,12,Uttar Pradesh,Sultanpur,31713.0,68.21,177.8,108.52,12110.0,26.05,67.89,41.44,0.0,5.75,14.99,9.15,46496.0,260.67,159.1
234,2017,12,Uttar Pradesh,Sultanpur,34099.0,71.31,191.01,116.7,12336.0,25.8,69.1,42.22,0.0,2.89,7.74,4.73,47816.0,267.85,163.64
235,2016,12,Uttar Pradesh,Pratapgarh,32894.0,67.93,143.95,88.81,12806.0,26.45,56.04,34.58,0.0,5.62,11.91,7.35,48422.0,211.9,130.74
235,2017,12,Uttar Pradesh,Pratapgarh,28992.0,64.33,126.62,77.86,11866.0,26.33,51.82,31.87,0.0,9.34,18.39,11.31,45068.0,196.83,121.04
236,2016,12,Uttar Pradesh,Barabanki,51356.0,67.81,194.39,95.21,20157.0,26.62,76.3,37.37,0.0,5.57,15.97,7.82,75732.0,286.66,140.4
236,2017,12,Uttar Pradesh,Barabanki,57528.0,73.82,217.51,106.56,17469.0,22.42,66.05,32.36,0.0,3.76,11.09,5.43,77930.0,294.65,144.35
237,2016,16,Uttarakhand,Nainital,9637.0,81.69,210.53,136.18,1567.0,13.28,34.23,22.14,0.0,5.03,12.95,8.38,11797.0,257.72,166.7
237,2017,16,Uttarakhand,Nainital,9290.0,82.64,213.74,134.05,1374.0,12.22,31.61,19.83,0.0,5.13,13.28,8.33,11241.0,258.63,162.21
238,2016,16,Uttarakhand,Almorah,207.0,74.46,2.69,1.84,55.0,19.78,0.72,0.49,0.0,5.76,0.21,0.14,278.0,3.62,2.47
238,2017,16,Uttarakhand,Almorah,200.0,80.0,2.72,1.89,35.0,14.0,0.48,0.33,0.0,6.0,0.2,0.14,250.0,3.41,2.36
239,2016,16,Uttarakhand,Pithorgarh,313.0,83.02,7.53,4.47,54.0,14.32,1.3,0.77,0.0,2.65,0.24,0.14,377.0,9.06,5.38
239,2017,16,Uttarakhand,Pithorgarh,187.0,74.5,4.63,2.71,52.0,20.72,1.29,0.75,0.0,4.78,0.3,0.17,251.0,6.21,3.64
240,2016,16,Uttarakhand,Chamoli,116.0,60.1,3.48,2.36,75.0,38.86,2.25,1.52,0.0,1.04,0.03,0.02,193.0,5.76,3.9
240,2017,16,Uttarakhand,Chamoli,86.0,64.66,2.57,1.75,45.0,33.83,1.35,0.91,0.0,1.5,0.03,0.02,133.0,3.95,2.68
241,2016,16,Uttarakhand,Uttar Kashi,112.0,52.58,3.74,2.73,91.0,42.72,3.04,2.21,0.0,4.69,0.33,0.24,213.0,7.12,5.18
241,2017,16,Uttarakhand,Uttar Kashi,137.0,43.08,4.48,3.24,148.0,46.54,4.84,3.5,0.0,10.38,1.08,0.78,318.0,10.39,7.52
242,2016,16,Uttarakhand,Tehri Garhwal,90.0,72.0,1.7,1.14,35.0,28.0,0.66,0.44,0.0,0.011135688871092952,23.312546564417048,15.042699209818723,125.0,2.34,1.57
242,2017,16,Uttarakhand,Tehri Garhwal,75.0,69.44,1.45,0.97,32.0,29.63,0.62,0.42,0.0,0.93,0.02,0.01,108.0,2.09,1.4
243,2016,16,Uttarakhand,Garhwal,361.0,75.68,6.27,4.31,114.0,23.9,1.98,1.36,0.0,0.42,0.02,0.01,477.0,8.27,5.69
243,2017,16,Uttarakhand,Garhwal,374.0,77.59,7.52,5.25,103.0,21.37,2.07,1.45,0.0,1.04,0.1,0.07,482.0,9.69,6.76
244,2016,16,Uttarakhand,Dehradun,3560.0,78.38,90.54,62.1,860.0,18.93,21.87,15.0,0.0,2.69,3.1,2.13,4542.0,115.51,79.24
244,2017,16,Uttarakhand,Dehradun,3319.0,77.11,90.55,59.96,887.0,20.61,24.2,16.03,0.0,2.28,2.67,1.77,4304.0,117.42,77.76
501,2016,14,Chhattisgarh,Rajnandgaon,27631.0,54.61,77.27,55.96,17335.0,34.26,48.48,35.11,0.0,11.14,15.76,11.41,50601.0,141.51,102.49
501,2017,14,Chhattisgarh,Rajnandgaon,26002.0,57.46,70.45,52.59,14846.0,32.81,40.22,30.02,0.0,9.73,11.93,8.9,45250.0,122.6,91.51
502,2016,6,Madhya Pradesh,Bhopal,25333.0,71.68,167.02,110.31,9201.0,26.03,60.66,40.07,0.0,2.28,5.32,3.51,35341.0,233.0,153.89
502,2017,6,Madhya Pradesh,Bhopal,22882.0,66.57,149.38,77.65,10860.0,31.59,70.9,36.85,0.0,1.84,4.13,2.14,34374.0,224.4,116.65
503,2016,1,Andhra Pradesh,Vizianagaram,32808.0,62.87,119.6,85.98,10979.0,21.04,40.02,28.77,0.0,16.1,30.62,22.01,52187.0,190.24,136.77
503,2017,1,Andhra Pradesh,Vizianagaram,34460.0,62.5,126.32,92.75,11568.0,20.98,42.41,31.14,0.0,16.53,33.4,24.53,55140.0,202.13,148.41
